logical_time_ns,logical_time_ms,head_present,eye_present,head,eye,lag_ms
7000000000,7000.0,1,1,1,1,10.953856000000087
7100000000,7100.0,1,1,1,1,10.953510000000279
7200000000,7200.0,1,1,1,1,9.634884000000056
7300000000,7300.0,1,1,1,1,9.712129999999888
7400000000,7400.0,1,1,0,1,73.67665300000044
7500000000,7500.0,1,1,0,1,6.152794999999969
7600000000,7600.0,1,1,0,1,8.742511000000377
7700000000,7700.0,1,1,0,1,9.741210000000137
7800000000,7800.0,1,1,0,1,2.837018000000171
7900000000,7900.0,1,1,0,1,67.17633399999977
8000000000,8000.0,1,1,0,1,5.122040999999626
8100000000,8100.0,1,1,0,1,5.622430999999779
8200000000,8200.0,1,1,0,1,5.499809000000823
8300000000,8300.0,1,1,0,1,4.927599000000555
8400000000,8400.0,1,1,0,1,63.70972000000074
8500000000,8500.0,1,1,0,1,5.706732000000557
8600000000,8600.0,1,1,0,1,6.013994000000821
8700000000,8700.0,1,1,0,1,3.0517020000006596
8800000000,8800.0,1,1,0,1,4.827095000000554
8900000000,8900.0,1,1,0,1,65.04521700000078
9000000000,9000.0,1,1,0,1,4.0511160000005475
9100000000,9100.0,1,1,0,1,4.452135999999882
9200000000,9200.0,1,1,0,1,5.797182000000248
9300000000,9300.0,1,1,0,1,7.763017999999647
9400000000,9400.0,1,1,0,1,58.95261500000015
9500000000,9500.0,1,1,0,1,3.690984999999273
9600000000,9600.0,1,1,0,1,5.827280999999857
9700000000,9700.0,1,1,0,1,9.61881700000049
9800000000,9800.0,1,1,0,1,2.674311000000671
9900000000,9900.0,1,1,0,1,63.612795999999435
10000000000,10000.0,1,1,0,1,5.316403999999238
10100000000,10100.0,1,1,0,1,7.897102999999333
10200000000,10200.0,1,1,0,1,4.837830000000395
10300000000,10300.0,1,1,0,1,5.054796000000351
10400000000,10400.0,1,1,0,1,62.81989099999919
10500000000,10500.0,1,1,0,1,5.465507999999318
10600000000,10600.0,1,1,0,1,5.579920000000129
10700000000,10700.0,1,1,0,1,5.177708999999595
10800000000,10800.0,1,1,0,1,5.937427999999272
10900000000,10900.0,1,1,0,1,65.17445100000077
11000000000,11000.0,1,1,0,1,5.763091000000713
11100000000,11100.0,1,1,0,1,3.652270000000499
11200000000,11200.0,1,1,0,1,5.431866000000809
11300000000,11300.0,1,1,0,1,4.564457000000402
11400000000,11400.0,1,1,0,1,66.2657650000001
11500000000,11500.0,1,1,0,1,4.446082000000388
11600000000,11600.0,1,1,0,1,5.761497999999847
11700000000,11700.0,1,1,0,1,5.1683630000006815
11800000000,11800.0,1,1,0,1,6.038173999999344
11900000000,11900.0,1,1,0,1,56.728462999999465
12000000000,12000.0,1,1,0,1,5.082457000000431
12100000000,12100.0,1,1,0,1,5.8697510000001785
12200000000,12200.0,1,1,0,1,5.360022000000754
12300000000,12300.0,1,1,0,1,9.006541000000652
12400000000,12400.0,1,1,0,1,54.51168599999983
12500000000,12500.0,1,1,0,1,5.07454399999915
12600000000,12600.0,1,1,0,1,4.799367999999959
12700000000,12700.0,1,1,0,1,7.102144000000408
12800000000,12800.0,1,1,0,1,3.5763760000008915
12900000000,12900.0,1,1,1,1,59.92859900000076
13000000000,13000.0,1,1,1,1,4.5533959999993385
13100000000,13100.0,1,1,1,1,5.888386000000537
13200000000,13200.0,1,1,1,1,4.365651000000071
13300000000,13300.0,1,1,1,1,7.07725500000015
13400000000,13400.0,1,1,1,1,47.52427399999942
13500000000,13500.0,1,1,1,1,7.089970999999423
13600000000,13600.0,1,1,1,1,3.5809809999991558
13700000000,13700.0,1,1,1,1,3.9459829999996145
13800000000,13800.0,1,1,1,1,6.214963000000353
13900000000,13900.0,1,1,1,1,59.01263400000062
14000000000,14000.0,1,1,1,1,5.058118999999351
14100000000,14100.0,1,1,1,1,5.77250500000082
14200000000,14200.0,1,1,1,1,9.129935999999361
14300000000,14300.0,1,1,1,1,4.3544050000000425
14400000000,14400.0,1,1,1,1,51.565011000000595
14500000000,14500.0,1,1,1,1,4.563840999999229
14600000000,14600.0,1,1,1,1,5.8550539999996545
14700000000,14700.0,1,1,1,1,5.0121259999996255
14800000000,14800.0,1,1,1,1,2.498734999999215
14900000000,14900.0,1,1,1,1,53.86212700000033
15000000000,15000.0,1,1,1,1,5.349177000000054
15100000000,15100.0,1,1,1,1,6.205599000000802
15200000000,15200.0,1,1,1,1,6.089829000000464
15300000000,15300.0,1,1,1,1,5.752857999999833
15400000000,15400.0,1,1,1,1,48.76380900000004
15500000000,15500.0,1,1,1,1,5.085563000000548
15600000000,15600.0,1,1,1,1,5.493139000000156
15700000000,15700.0,1,1,1,1,5.029927999999927
15800000000,15800.0,1,1,1,1,5.775369999999384
15900000000,15900.0,1,1,1,2,54.963730999999825
16000000000,16000.0,1,1,1,2,5.015077000000019
16100000000,16100.0,1,1,1,2,6.095089000000371
16200000000,16200.0,1,1,1,2,4.8522570000004634
16300000000,16300.0,1,1,1,2,2.9781370000000607
16400000000,16400.0,1,1,1,2,56.55857699999979
16500000000,16500.0,1,1,1,2,5.785691000000952
16600000000,16600.0,1,1,1,2,5.528218999999808
16700000000,16700.0,1,1,1,2,5.1013039999998
16800000000,16800.0,1,1,1,2,6.332054999998945
16900000000,16900.0,1,1,1,1,54.88234999999986
17000000000,17000.0,1,1,1,1,5.603612999999314
17100000000,17100.0,1,1,1,1,6.613571000001684
17200000000,17200.0,1,1,1,1,5.684142999998585
