logical_time_ns,logical_time_ms,steer_present,accelerator_present,brake_present,steer,accelerator,brake,lag_ms
7000000000,7000.0,1,1,1,1,1.0,0.0,0.5025699999996505
7100000000,7100.0,1,1,1,1,1.0,0.0,0.6926480000001902
7200000000,7200.0,1,1,1,1,1.0,0.0,0.31158400000003894
7300000000,7300.0,1,1,1,1,1.0,0.0,0.6910680000000866
7400000000,7400.0,1,1,1,1,1.0,0.0,0.7133889999995517
7500000000,7500.0,1,1,1,1,1.0,0.0,0.6993210000000545
7600000000,7600.0,1,1,1,1,1.0,0.0,0.7227339999999458
7700000000,7700.0,1,1,1,1,1.0,0.0,0.7642210000003615
7800000000,7800.0,1,1,1,1,1.0,0.0,0.4620089999998527
7900000000,7900.0,1,1,1,1,1.0,0.0,0.46146000000044296
8000000000,8000.0,1,1,1,1,1.0,0.0,0.7576109999999971
8100000000,8100.0,1,1,1,1,1.0,0.0,0.6993030000003273
8200000000,8200.0,1,1,1,1,1.0,0.0,0.6846609999993234
8300000000,8300.0,1,1,1,1,1.0,0.0,0.7243519999992714
8400000000,8400.0,1,1,1,1,1.0,0.0,0.759265000000596
8500000000,8500.0,1,1,1,1,1.0,0.0,0.7080499999992753
8600000000,8600.0,1,1,1,1,1.0,0.0,0.7179629999991448
8700000000,8700.0,1,1,1,1,1.0,0.0,0.19177200000012817
8800000000,8800.0,1,1,1,1,1.0,0.0,0.720882999999958
8900000000,8900.0,1,1,1,1,1.0,0.0,0.7127039999995759
9000000000,9000.0,1,1,1,1,1.0,0.0,0.5983039999991888
9100000000,9100.0,1,1,1,1,0.0,0.0,0.5500520000005054
9200000000,9200.0,1,1,1,1,0.0,0.0,0.3070609999995213
9300000000,9300.0,1,1,1,1,0.0,0.0,0.8577270000005228
9400000000,9400.0,1,1,1,1,0.0,0.0,0.7927710000003572
9500000000,9500.0,1,1,1,1,0.0,0.0,0.6148169999996753
9600000000,9600.0,1,1,1,1,0.0,0.0,0.7752099999997881
9700000000,9700.0,1,1,1,1,0.0,0.0,0.772382999999536
9800000000,9800.0,1,1,1,1,0.0,0.0,0.5171699999991688
9900000000,9900.0,1,1,1,1,0.0,0.0,0.7174699999995937
10000000000,10000.0,1,1,1,1,0.0,0.0,0.8144940000001952
10100000000,10100.0,1,1,1,1,0.0,0.0,0.7581859999991138
10200000000,10200.0,1,1,1,1,0.0,0.0,0.779765999999654
10300000000,10300.0,1,1,1,1,0.0,0.0,0.6899950000006356
10400000000,10400.0,1,1,1,1,0.0,0.0,0.7204079999992246
10500000000,10500.0,1,1,1,1,0.0,0.0,0.7086550000003626
10600000000,10600.0,1,1,1,1,0.0,0.0,0.7390319999994972
