event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,head_present,eye_present,head,eye
output_tick,7000000000,7000.0,7011.851461,7000000000,0,11.864386999999624,0,1,1,1,1
output_tick,7100000000,7100.0,7111.348513,7100000000,0,11.404179000000113,0,1,1,1,1
output_tick,7200000000,7200.0,7210.140794,7200000000,0,10.155848999999762,0,1,1,1,1
output_tick,7300000000,7300.0,7310.227987,7300000000,0,10.238190000000031,0,1,1,1,1
sensor_arrival,7400000000,7400.0,7487.122549,7400000000,0,87.1300110000002,0,1,1,0,0
output_tick,7400000000,7400.0,7487.406601,7400000000,0,87.41015599999992,0,1,1,0,0
output_tick,7500000000,7500.0,7506.854876,7500000000,0,6.863690000000133,0,1,1,0,0
output_tick,7600000000,7600.0,7605.375308,7600000000,0,5.387252999999873,0,1,1,0,0
output_tick,7700000000,7700.0,7705.671628,7700000000,0,5.683627999999771,0,1,1,0,0
output_tick,7800000000,7800.0,7805.75358,7800000000,0,5.766171999999642,0,1,1,0,0
sensor_arrival,7900000000,7900.0,7980.032154,7900000000,0,80.03895000000011,0,1,1,0,0
output_tick,7900000000,7900.0,7980.253781,7900000000,0,80.25665099999969,0,1,1,0,0
output_tick,8000000000,8000.0,8004.955476,8000000000,0,4.968012999999701,0,1,1,0,0
output_tick,8100000000,8100.0,8109.996667,8100000000,0,10.007074000000102,0,1,1,0,0
output_tick,8200000000,8200.0,8205.194008,8200000000,0,5.205582000000504,0,1,1,0,0
output_tick,8300000000,8300.0,8305.548938,8300000000,0,5.563567999999577,0,1,1,0,0
sensor_arrival,8400000000,8400.0,8492.653623,8400000000,0,92.6615299999994,0,1,1,1,1
output_tick,8400000000,8400.0,8492.926138,8400000000,0,92.92924900000071,0,1,1,1,1
output_tick,8500000000,8500.0,8502.418639,8500000000,0,2.425139000000854,0,1,1,1,1
output_tick,8600000000,8600.0,8605.977107,8600000000,0,5.989735999999539,0,1,1,1,1
output_tick,8700000000,8700.0,8705.977133,8700000000,0,5.987651999999798,0,1,1,1,1
output_tick,8800000000,8800.0,8810.15726,8800000000,0,10.169407999999748,0,1,1,1,1
sensor_arrival,8900000000,8900.0,8983.977913,8900000000,0,83.98441300000013,0,1,1,1,1
output_tick,8900000000,8900.0,8984.1808,8900000000,0,84.1835030000002,0,1,1,1,1
output_tick,9000000000,9000.0,9004.96517,9000000000,0,4.975929000000178,0,1,1,1,1
output_tick,9100000000,9100.0,9106.16559,9100000000,0,6.177922999999282,0,1,1,1,1
output_tick,9200000000,9200.0,9205.153536,9200000000,0,5.165424999999232,0,1,1,1,1
output_tick,9300000000,9300.0,9306.070645,9300000000,0,6.084162999999535,0,1,1,1,1
