run,camera_read_ms,face_detection_ms,total_ms,face_found,head,eye
0,101.09782597282901,78.07117904303595,179.1818380006589,1,2,1
1,20.25582001078874,64.56229195464402,84.82940797694027,1,2,1
2,36.025504989083856,66.70705496799201,102.7444860083051,1,2,1
3,33.94292603479698,66.05019501876086,100.00445402693003,1,2,1
4,32.98232995439321,67.15525197796524,100.1520449644886,1,2,1
5,32.206896983552724,66.82623800588772,99.04246899532154,1,2,1
6,33.425748988520354,65.68166398210451,99.11819000262767,1,1,1
7,33.52811699733138,65.98115898668766,99.5195169816725,1,1,1
8,34.789562050718814,66.59474200569093,101.39587800949812,1,1,1
9,33.253677014727145,65.78375498065725,99.04758003540337,1,1,1
10,31.814496032893658,63.33458796143532,95.15647299122065,1,1,1
11,37.70346101373434,70.04280103137717,107.76165104471147,1,1,1
12,30.0154680153355,68.92968801548705,98.95600803429261,1,1,1
13,31.472778995521367,70.6418480258435,102.12644102284685,1,1,1
14,29.84721102984622,69.30416397517547,99.1665970068425,1,1,1
15,29.936504957731813,67.92394502554089,97.87163499277085,1,1,1
16,31.64492396172136,68.35123500786722,100.00741796102375,1,1,1
17,31.62485099164769,67.83796398667619,99.47540698340163,1,1,1
18,30.802547989878803,71.27126399427652,102.08449698984623,1,2,1
19,28.260457969736308,78.81188997998834,107.08318097749725,1,2,1
20,20.678350992966443,75.50545799313113,96.19518002728,1,2,2
21,25.707718974445015,75.04150300519541,100.76151799876243,1,2,2
22,24.089168990030885,71.57346297753975,95.67237296141684,1,2,2
23,28.162087954115123,75.82619501044974,103.99882000638172,1,2,2
24,24.311221030075103,74.29631100967526,98.61856902716681,1,2,2
25,26.16130403475836,74.70378599828109,100.8753310306929,1,2,2
26,23.967800952959806,74.29929100908339,98.28072198433802,1,2,2
27,25.57260903995484,72.68020597985014,98.26257399981841,1,2,2
28,27.241842995863408,73.86214996222407,101.11527098342776,1,2,2
29,25.841458002105355,75.02861396642402,100.87996098445728,1,2,2
30,24.975452048238367,74.55993600888178,99.5452770148404,1,2,2
31,25.00439598225057,75.86575002642348,100.88010900653899,1,2,1
32,24.385609023738652,76.35144598316401,100.74838902801275,1,2,1
33,23.295458988286555,77.66268501291052,100.96821800107136,1,2,1
34,22.050533967558295,74.82859899755567,96.88946598907933,1,2,1
35,24.50671896804124,76.11028297105804,100.62709398334846,1,2,1
36,24.07768799457699,66.73500098986551,90.824780985713,1,2,1
37,32.04514103708789,62.4668060336262,94.5216870168224,1,2,1
38,37.11565601406619,62.32516100862995,99.44896504748613,1,2,1
39,38.58524496899918,66.1603239714168,104.7561609884724,1,2,1
40,33.640802023001015,65.61438896460459,99.26572698168457,1,1,1
41,30.918528034817427,66.28259998979047,97.21214702585712,1,1,1
42,34.1173320193775,65.13867300236598,99.26774498308077,1,1,1
43,33.692652999889106,66.43615302164108,100.13834299752489,1,1,1
44,33.80141104571521,68.63506400259212,102.44791902368888,1,1,1
45,30.76369798509404,68.66480503231287,99.43827998358756,1,1,1
46,31.180597958154976,75.1384649774991,106.32889595581219,1,1,1
47,25.29413200682029,76.95178902940825,102.2568290354684,1,1,1
48,23.093611001968384,75.36083197919652,98.46611000830308,1,1,1
49,24.916824011597782,75.1700570108369,100.09865899337456,1,1,1
50,22.962908959016204,69.4064229610376,92.38025796366856,1,1,1
51,30.780216038692743,71.17422902956605,101.96453804383054,1,1,1
52,28.833097021561116,71.3845599675551,100.22824897896498,1,1,1
53,28.360363969113678,75.46981202904135,103.8428419851698,1,1,1
54,24.14468803908676,70.34568698145449,94.50231899973005,1,1,1
55,29.598474968224764,72.27463799063116,101.88455699244514,1,1,1
56,27.94981503393501,73.23575299233198,101.19856800884008,1,1,1
57,25.48727800603956,74.79811896337196,100.29691498493776,1,1,1
58,25.575129024218768,74.64288000483066,100.51959700649604,1,1,1
59,23.76476803328842,70.7627740339376,94.53635604586452,1,1,1
60,29.368718969635665,70.02208102494478,99.40109599847347,1,1,1
61,29.972432006616145,71.29465398611501,101.27703001489863,1,1,1
62,28.78006099490449,71.78151700645685,100.57146695908159,1,1,1
63,27.74624398443848,73.66382196778432,101.42000997439027,1,1,1
64,26.627260027453303,73.10658897040412,99.74512702319771,1,1,1
65,27.14108699001372,71.07376895146444,98.22692896705121,1,1,1
66,28.19964400259778,70.01585798570886,98.22552098194137,1,1,1
67,29.806229984387755,70.91054902411997,100.72694602422416,1,1,1
68,28.98985502542928,70.24857797659934,99.24956201575696,1,1,1
69,29.388866969384253,71.78579497849569,101.18497698567808,1,1,1
70,27.962388994637877,72.30339798843488,100.27602798072621,1,1,1
71,27.61652396293357,74.4214029982686,102.04801900545135,1,1,1
72,25.28391097439453,73.52832402102649,98.82247500354424,1,1,1
73,22.231142967939377,72.9354260256514,95.1778829912655,1,1,1
74,26.51316998526454,69.95556299807504,96.47836297517642,1,1,1
75,30.0053579849191,71.72962900949642,101.74556099809706,1,1,1
76,28.055682952981442,72.7699090493843,100.8354999939911,1,1,1
77,27.36302703851834,72.57037499221042,99.9446990317665,1,1,1
78,26.730611047241837,72.10386404767632,98.84442004840821,1,1,1
79,28.5436199628748,72.15243700193241,100.70803895359859,1,1,1
80,27.794594992883503,72.33323104446754,100.1395300263539,1,1,1
81,26.41185699030757,69.73075197311118,96.153330989182,1,1,1
82,31.077841005753726,72.10390199907124,103.19435398560017,1,1,1
