event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,steer_in_present,accel_in_present,brake_in_present,actuate_in_present,steer_in,accel_in,brake_in,actuate_in,car_velocity,car_steer
reaction,7000000000,7000.0,7020.663411,7000000000,0,20.4154010000002,0,1,1,1,0,1,0.0,0.0,,89.54208000000001,1
reaction,7100000000,7100.0,7120.28215,7100000000,0,20.18880199999967,0,1,1,1,0,1,0.0,0.0,,89.0887275505152,1
reaction,7200000000,7200.0,7220.490609,7200000000,0,20.282858999999917,0,1,1,1,0,1,0.0,0.0,,88.63987414070577,1
reaction,7300000000,7300.0,7320.435983,7300000000,0,20.228111999999783,0,1,1,1,0,1,0.0,0.0,,88.19545262472354,1
reaction,7400000000,7400.0,7420.45644,7400000000,0,20.249133000000256,0,1,1,1,0,1,0.0,0.0,,87.75539718785244,1
reaction,7500000000,7500.0,7520.406201,7500000000,0,20.208467000000383,0,1,1,1,0,1,0.0,0.0,,87.31964331365256,1
reaction,7600000000,7600.0,7620.394184,7600000000,0,20.19197499999973,0,1,1,1,0,1,0.0,0.0,,86.88812775207349,1
reaction,7700000000,7700.0,7720.504706,7700000000,0,20.26804699999957,0,1,1,1,0,1,0.0,0.0,,86.46078848850345,1
reaction,7800000000,7800.0,7820.471186,7800000000,0,20.265182000000095,0,1,1,1,0,1,0.0,0.0,,86.0375647137227,1
reaction,7900000000,7900.0,7920.515624,7900000000,0,20.288556999999855,0,1,1,1,0,1,0.0,0.0,,85.61839679473003,1
reaction,8000000000,8000.0,8020.519994,8000000000,0,20.31049499999972,0,1,1,1,0,1,0.0,0.0,,85.20322624641337,1
reaction,8100000000,8100.0,8120.286944,8100000000,0,20.200503000000026,0,1,1,1,0,1,0.0,0.0,,84.79199570403573,1
reaction,8200000000,8200.0,8220.459751,8200000000,0,20.255361999999877,0,1,1,1,0,1,0.0,0.0,,84.38464889650945,1
reaction,8300000000,8300.0,8320.486234,8300000000,0,20.27289799999926,0,1,1,1,0,1,0.0,0.0,,83.98113062043238,1
reaction,8400000000,8400.0,8420.296538,8400000000,0,20.192541000000347,0,1,1,1,0,1,0.0,0.0,,83.58138671486093,1
reaction,8500000000,8500.0,8520.467334,8500000000,0,20.261797999999544,0,1,1,1,0,1,0.0,0.0,,83.18536403679542,1
reaction,8600000000,8600.0,8620.425529,8600000000,0,20.228589000000284,0,1,1,1,0,1,0.0,0.0,,82.79301043735464,1
reaction,8700000000,8700.0,8720.491337,8700000000,0,20.263324999999895,0,1,1,1,0,1,0.0,0.0,,82.40427473861688,1
reaction,8800000000,8800.0,8820.458564,8800000000,0,20.26467000000048,0,1,1,1,0,1,0.0,0.0,,82.0191067111059,1
reaction,8900000000,8900.0,8920.436548,8900000000,0,20.234159999999974,0,1,1,1,0,1,0.0,0.0,,81.63745705190102,1
reaction,9000000000,9000.0,9020.428064,9000000000,0,20.23906800000077,0,1,1,1,0,1,0.0,0.0,,81.25927736335096,1
reaction,9100000000,9100.0,9120.423865,9100000000,0,20.21802799999932,0,1,1,1,0,1,0.0,0.0,,80.8845201323724,1
reaction,9200000000,9200.0,9220.306275,9200000000,0,20.207924000000276,0,1,1,1,0,1,0.0,0.0,,80.5131387103144,1
reaction,9300000000,9300.0,9320.455789,9300000000,0,20.24609699999928,0,1,1,1,0,1,0.0,0.0,,80.14508729337071,1
reaction,9400000000,9400.0,9420.44412,9400000000,0,20.25308799999948,0,1,1,1,0,1,0.0,0.0,,79.78032090352283,1
reaction,9500000000,9500.0,9520.476017,9500000000,0,20.28089800000089,0,1,1,1,0,1,0.0,0.0,,79.41879536999677,1
reaction,9600000000,9600.0,9620.351411,9600000000,0,20.20342300000084,0,1,1,1,0,1,0.0,0.0,,79.0604673112178,1
reaction,9700000000,9700.0,9720.461392,9700000000,0,20.257362000000285,0,1,1,1,0,1,0.0,0.0,,78.70529411724736,1
reaction,9800000000,9800.0,9820.450099,9800000000,0,20.23932799999966,0,1,1,1,0,1,0.0,0.0,,78.35323393268723,1
reaction,9900000000,9900.0,9920.467244,9900000000,0,20.258663000000524,0,1,1,1,0,1,0.0,0.0,,78.00424564003666,1
reaction,10000000000,10000.0,10020.400838,10000000000,0,20.18127900000036,0,1,1,1,0,1,0.0,0.0,,77.65828884348825,1
reaction,10100000000,10100.0,10120.483867,10100000000,0,20.26948099999936,0,1,1,1,0,1,0.0,0.0,,77.31532385314942,1
reaction,10200000000,10200.0,10220.451985,10200000000,0,20.24767299999985,0,1,1,1,0,1,0.0,0.0,,76.97531166967624,1
reaction,10300000000,10300.0,10320.366368,10300000000,0,20.208754999999655,0,1,1,1,0,1,0.0,0.0,,76.63821396930713,1
reaction,10400000000,10400.0,10420.471334,10400000000,0,20.257675000000745,0,1,1,1,0,1,0.0,0.0,,76.30399308928462,1
reaction,10500000000,10500.0,10520.462124,10500000000,0,20.255138000000443,0,1,1,1,0,1,0.0,0.0,,75.97261201365298,1
reaction,10600000000,10600.0,10620.342194,10600000000,0,20.26961499999925,0,1,1,1,0,1,0.0,0.0,,75.64403435942091,1
reaction,10700000000,10700.0,10720.487696,10700000000,0,20.279475999999704,0,1,1,1,0,1,0.0,0.0,,75.31822436307819,1
reaction,10800000000,10800.0,10820.302479,10800000000,0,20.193248999999923,0,1,1,1,0,1,0.0,0.0,,74.99514686745557,1
reaction,10900000000,10900.0,10920.501336,10900000000,0,20.280173999999533,0,1,1,1,0,1,0.0,0.0,,74.67476730891828,1
reaction,11000000000,11000.0,11020.520366,11000000000,0,20.30532900000071,0,1,1,1,0,1,0.0,0.0,,74.35705170488266,1
reaction,11100000000,11100.0,11120.614201,11100000000,0,20.328584000000774,0,1,1,1,0,1,0.0,0.0,,74.04196664164698,1
reaction,11200000000,11200.0,11220.201565,11200000000,0,20.123773999999685,0,1,1,1,0,1,0.0,0.0,,73.72947926252682,1
reaction,11300000000,11300.0,11320.484644,11300000000,0,20.276191000000836,0,1,1,1,0,1,0.0,0.0,,73.41955725628664,1
reaction,11400000000,11400.0,11420.461524,11400000000,0,20.24952099999973,0,1,1,1,0,1,0.0,0.0,,73.11216884585835,1
reaction,11500000000,11500.0,11520.311257,11500000000,0,20.217350000000806,0,1,1,1,0,1,0.0,0.0,,72.80728277733917,1
reaction,11600000000,11600.0,11620.432078,11600000000,0,20.212946999999986,0,1,1,1,0,1,0.0,0.0,,72.50486830926032,1
reaction,11700000000,11700.0,11720.462802,11700000000,0,20.247604000000138,0,1,1,1,0,1,0.0,0.0,,72.20489520211902,1
reaction,11800000000,11800.0,11820.771467,11800000000,0,20.52811699999984,0,1,1,1,0,1,0.0,0.0,,71.9073337081663,1
reaction,11900000000,11900.0,11920.435852,11900000000,0,20.225210000000516,0,1,1,1,0,1,0.0,0.0,,71.6121545614431,1
reaction,12000000000,12000.0,12020.54121,12000000000,0,20.327778999999282,0,1,1,1,0,1,0.0,0.0,,71.31932896805799,1
reaction,12100000000,12100.0,12120.470534,12100000000,0,20.245801999999458,0,1,1,1,0,1,0.0,0.0,,71.02882859669943,1
