logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,velocity_present,input_velocity_kmh,dt_seconds,road_phase,environment_distance,front_car_present,right_car_present,right_car_position,cross_left_car_present,cross_right_car_present,environment_states_json
15000000000,15000.0,15031.234029,1781883650738069570,0,1,89.47830366782007,0.0,HIGHWAY,4000.0,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
15100000000,15100.0,15126.090699,1781883650838069570,0,1,88.96180917856955,0.1,HIGHWAY,3997.5288386339284,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
15200000000,15200.0,15226.958848,1781883650938069570,0,1,88.45043487459382,0.1,HIGHWAY,3995.0718821096343,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
15300000000,15300.0,15326.966449,1781883651038069570,0,1,87.9441007963303,0.1,HIGHWAY,3992.6289904208475,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
15400000000,15400.0,15427.010473,1781883651138069570,0,1,87.44272863832397,0.1,HIGHWAY,3990.20002573645,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
15500000000,15500.0,15526.923858,1781883651238069570,0,1,86.94624170660428,0.1,HIGHWAY,3987.784852355711,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
15600000000,15600.0,15626.998051,1781883651338069570,0,1,86.45456487737417,0.1,HIGHWAY,3985.3833366646727,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
15700000000,15700.0,15726.670708,1781883651438069570,0,1,85.96762455696445,0.1,HIGHWAY,3982.9953470936457,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
15800000000,15800.0,15826.950765,1781883651538069570,0,1,85.48534864300856,0.1,HIGHWAY,3980.620754075784,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
15900000000,15900.0,15926.729872,1781883651638069570,0,1,85.00766648679436,0.1,HIGHWAY,3978.2594300067067,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
16000000000,16000.0,16026.828162,1781883651738069570,0,1,84.53450885675166,0.1,HIGHWAY,3975.9112492051304,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
16100000000,16100.0,16127.582538,1781883651838069570,0,1,84.06580790303549,0.1,HIGHWAY,3973.5760878744904,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
16200000000,16200.0,16236.017471,1781883651938069570,0,1,83.60149712316722,0.1,HIGHWAY,3971.2538240655135,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
16300000000,16300.0,16326.986538,1781883652038069570,0,1,83.14151132869647,0.1,HIGHWAY,3968.944337639716,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
16400000000,16400.0,16426.97122,1781883652138069570,0,1,82.69990425990758,0.1,HIGHWAY,3966.647118076941,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
16500000000,16500.0,16526.97727,1781883652238069570,0,1,82.24824825191666,0.1,HIGHWAY,3964.362444514388,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
16600000000,16600.0,16627.003025,1781883652338069570,0,1,81.8007311230418,0.1,HIGHWAY,3962.0902019831924,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
16700000000,16700.0,16726.08626,1781883652438069570,0,1,81.35729259018052,0.1,HIGHWAY,3959.8302771890208,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
16800000000,16800.0,16826.874211,1781883652538069570,0,1,80.91445872288956,0.1,HIGHWAY,3957.582653335607,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
16900000000,16900.0,16927.207069,1781883652638069570,0,1,80.47903185568639,0.1,HIGHWAY,3955.347124672949,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
17000000000,17000.0,17026.598736,1781883652738069570,0,1,80.04750915859375,0.1,HIGHWAY,3953.123582751877,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
17100000000,17100.0,17126.952698,1781883652838069570,0,1,79.61983484183077,0.1,HIGHWAY,3950.9119206729374,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
17200000000,17200.0,17227.462485,1781883652938069570,0,1,79.19595417074859,0.1,HIGHWAY,3948.7120330570833,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
17300000000,17300.0,17328.019875,1781883653038069570,0,1,78.7758134409567,0.1,HIGHWAY,3946.5238160170566,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
17400000000,17400.0,17426.958713,1781883653138069570,0,1,78.37347760120869,0.1,HIGHWAY,3944.3467749725787,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
17500000000,17500.0,17526.942377,1781883653238069570,0,1,77.96053671395613,0.1,HIGHWAY,3942.181204508302,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
17600000000,17600.0,17626.63796,1781883653338069570,0,1,77.55118231040242,0.1,HIGHWAY,3940.02700499968,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
17700000000,17700.0,17726.593686,1781883653438069570,0,1,77.1453645405702,0.1,HIGHWAY,3937.884078206886,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
17800000000,17800.0,17826.165373,1781883653538069570,0,1,76.74303447116264,0.1,HIGHWAY,3935.7523272493536,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
17900000000,17900.0,17927.347326,1781883653638069570,0,1,76.34414406454704,0.1,HIGHWAY,3933.631656580894,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
18000000000,18000.0,18026.667552,1781883653738069570,0,1,75.95207868426598,0.1,HIGHWAY,3931.521876617442,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
18100000000,18100.0,18126.553787,1781883653838069570,0,1,75.55989800450489,0.1,HIGHWAY,3929.4229905617613,0,0,NONE,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
