event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,steer_present,accelerator_present,brake_present,steer,accelerator,brake
output_tick,7000000000,7000.0,7000.308689,7000000000,0,1,1,1,1,0.0,0.0
output_tick,7100000000,7100.0,7100.623882,7100000000,0,1,1,1,1,0.0,0.0
output_tick,7200000000,7200.0,7200.610189,7200000000,0,1,1,1,1,0.0,0.0
output_tick,7300000000,7300.0,7300.608811,7300000000,0,1,1,1,1,0.0,0.0
output_tick,7400000000,7400.0,7400.336195,7400000000,0,1,1,1,1,0.0,0.0
output_tick,7500000000,7500.0,7500.59785,7500000000,0,1,1,1,1,0.0,0.0
output_tick,7600000000,7600.0,7600.288642,7600000000,0,1,1,1,1,0.0,0.0
output_tick,7700000000,7700.0,7700.695907,7700000000,0,1,1,1,1,0.0,0.0
output_tick,7800000000,7800.0,7800.694955,7800000000,0,1,1,1,1,0.0,0.0
output_tick,7900000000,7900.0,7900.602874,7900000000,0,1,1,1,1,0.0,0.0
output_tick,8000000000,8000.0,8000.332239,8000000000,0,1,1,1,1,0.0,0.0
output_tick,8100000000,8100.0,8100.653321,8100000000,0,1,1,1,1,0.0,0.0
output_tick,8200000000,8200.0,8200.38889,8200000000,0,1,1,1,1,0.0,0.0
output_tick,8300000000,8300.0,8300.659267,8300000000,0,1,1,1,1,0.0,0.0
output_tick,8400000000,8400.0,8400.700055,8400000000,0,1,1,1,1,0.0,0.0
output_tick,8500000000,8500.0,8500.665936,8500000000,0,1,1,1,1,0.0,0.0
output_tick,8600000000,8600.0,8600.703779,8600000000,0,1,1,1,1,0.0,0.0
output_tick,8700000000,8700.0,8700.701623,8700000000,0,1,1,1,1,0.0,0.0
output_tick,8800000000,8800.0,8800.30062,8800000000,0,1,1,1,1,0.0,0.0
output_tick,8900000000,8900.0,8900.349815,8900000000,0,1,1,1,1,0.0,0.0
output_tick,9000000000,9000.0,9000.674321,9000000000,0,1,1,1,1,0.0,0.0
output_tick,9100000000,9100.0,9100.632277,9100000000,0,1,1,1,1,0.0,0.0
output_tick,9200000000,9200.0,9200.698768,9200000000,0,1,1,1,1,0.0,0.0
output_tick,9300000000,9300.0,9300.341226,9300000000,0,1,1,1,1,0.0,0.0
output_tick,9400000000,9400.0,9400.625122,9400000000,0,1,1,1,1,0.0,0.0
output_tick,9500000000,9500.0,9500.304321,9500000000,0,1,1,1,1,0.0,0.0
output_tick,9600000000,9600.0,9600.618643,9600000000,0,1,1,1,1,0.0,0.0
output_tick,9700000000,9700.0,9700.705319,9700000000,0,1,1,1,1,0.0,0.0
output_tick,9800000000,9800.0,9800.388277,9800000000,0,1,1,1,1,0.0,0.0
output_tick,9900000000,9900.0,9900.641914,9900000000,0,1,1,1,1,0.0,0.0
sensor_arrival,9988328580,9988.32858,9989.034739,9988328580,0,0,1,0,1,0.011764705882352941,0.0
sensor_arrival,9996170307,9996.170307,9996.711913,9996170307,0,0,1,0,1,0.01568627450980392,0.0
output_tick,10000000000,10000.0,10000.201318,10000000000,0,1,1,1,1,0.01568627450980392,0.0
sensor_arrival,10004318050,10004.31805,10005.695553,10004318050,0,0,1,0,1,0.03529411764705882,0.0
sensor_arrival,10012113610,10012.11361,10012.899676,10012113610,0,0,1,0,1,0.0392156862745098,0.0
sensor_arrival,10020080225,10020.080225,10020.725903,10020080225,0,0,1,0,1,0.050980392156862744,0.0
sensor_arrival,10028130357,10028.130357,10029.072791,10028130357,0,0,1,0,1,0.06274509803921569,0.0
sensor_arrival,10044132474,10044.132474,10045.00139,10044132474,0,0,1,0,1,0.07058823529411765,0.0
sensor_arrival,10052156033,10052.156033,10053.098874,10052156033,0,0,1,0,1,0.07450980392156863,0.0
sensor_arrival,10060134054,10060.134054,10060.912638,10060134054,0,0,1,0,1,0.0784313725490196,0.0
sensor_arrival,10076168227,10076.168227,10077.087735,10076168227,0,0,1,0,1,0.08627450980392157,0.0
sensor_arrival,10084123878,10084.123878,10084.949647,10084123878,0,0,1,0,1,0.08235294117647059,0.0
sensor_arrival,10092128678,10092.128678,10092.985501,10092128678,0,0,1,0,1,0.08627450980392157,0.0
output_tick,10100000000,10100.0,10100.433714,10100000000,0,1,1,1,1,0.08627450980392157,0.0
sensor_arrival,10108240997,10108.240997,10108.947378,10108240997,0,0,1,0,1,0.09803921568627451,0.0
sensor_arrival,10124128931,10124.128931,10124.682036,10124128931,0,0,1,0,1,0.10588235294117647,0.0
sensor_arrival,10132284654,10132.284654,10132.848055,10132284654,0,0,1,0,1,0.11372549019607843,0.0
sensor_arrival,10140102418,10140.102418,10140.606191,10140102418,0,0,1,0,1,0.12941176470588237,0.0
sensor_arrival,10148096070,10148.09607,10148.575083,10148096070,0,0,1,0,1,0.13725490196078433,0.0
sensor_arrival,10156157850,10156.15785,10156.679288,10156157850,0,0,1,0,1,0.14901960784313725,0.0
sensor_arrival,10164215649,10164.215649,10164.795494,10164215649,0,0,1,0,1,0.17254901960784313,0.0
