federate,reactor,reaction,logical_time_ns,logical_time_ms,tag_time_ns,microstep,lag_ms,start_physical_time_ms,stop_physical_time_ms,execution_time_ms
c,Car,reaction,7000000000,7000.0,7000000000,0,20.659367000000202,7020.659367,7021.060673,0.4013059999997495
c,Car,reaction,7100000000,7100.0,7100000000,0,20.624996999999894,7120.624997,7121.018931,0.39393399999971734
c,Car,reaction,7200000000,7200.0,7200000000,0,20.689414999999826,7220.689415,7221.025981,0.33656599999994796
c,Car,reaction,7300000000,7300.0,7300000000,0,20.843740000000253,7320.84374,7321.183671,0.3399309999995239
c,Car,reaction,7400000000,7400.0,7400000000,0,20.649991000000227,7420.649991,7420.987565,0.3375740000001315
c,Car,reaction,7500000000,7500.0,7500000000,0,20.731488000000354,7520.731488,7521.08023,0.34874199999921984
c,Car,reaction,7600000000,7600.0,7600000000,0,20.736815000000206,7620.736815,7621.056109,0.3192939999998998
c,Car,reaction,7700000000,7700.0,7700000000,0,20.74589300000025,7720.745893,7721.075025,0.329131999999845
c,Car,reaction,7800000000,7800.0,7800000000,0,20.339120999999977,7820.339121,7820.671385,0.33226399999966816
c,Car,reaction,7900000000,7900.0,7900000000,0,20.337977000000137,7920.337977,7920.642768,0.30479099999956816
c,Car,reaction,8000000000,8000.0,8000000000,0,20.608753000000434,8020.608753,8020.90217,0.29341699999986304
c,Car,reaction,8100000000,8100.0,8100000000,0,20.321366999999555,8120.321367,8120.625262,0.30389500000001135
c,Car,reaction,8200000000,8200.0,8200000000,0,20.68208600000071,8220.682086,8220.980313,0.298226999999315
c,Car,reaction,8300000000,8300.0,8300000000,0,20.29474400000072,8320.294744,8320.582752,0.28800799999953597
c,Car,reaction,8400000000,8400.0,8400000000,0,20.538564000000406,8420.538564,8420.832388,0.2938240000003134
c,Car,reaction,8500000000,8500.0,8500000000,0,20.321450999999797,8520.321451,8520.69695,0.3754989999997633
c,Car,reaction,8600000000,8600.0,8600000000,0,20.31738100000075,8620.317381,8620.610418,0.2930369999994582
c,Car,reaction,8700000000,8700.0,8700000000,0,20.525460999999268,8720.525461,8720.897854,0.37239300000146613
c,Car,reaction,8800000000,8800.0,8800000000,0,20.333395999999993,8820.333396,8820.62967,0.2962740000002668
c,Car,reaction,8900000000,8900.0,8900000000,0,20.405399999999645,8920.4054,8920.525286,0.11988600000040606
c,Car,reaction,9000000000,9000.0,9000000000,0,20.305097000000387,9020.305097,9020.583352,0.2782549999992625
c,Car,reaction,9100000000,9100.0,9100000000,0,20.594170000000304,9120.59417,9120.697403,0.10323299999981828
c,Car,reaction,9200000000,9200.0,9200000000,0,20.170210000000225,9220.17021,9220.407008,0.23679799999990792
c,Car,reaction,9300000000,9300.0,9300000000,0,20.573850000000675,9320.57385,9320.724765,0.15091500000016822
c,Car,reaction,9400000000,9400.0,9400000000,0,20.220617999999376,9420.220618,9420.37109,0.150472000001173
c,Car,reaction,9500000000,9500.0,9500000000,0,20.523027999999613,9520.523028,9520.68108,0.15805200000067998
c,Car,reaction,9600000000,9600.0,9600000000,0,20.476074000000153,9620.476074,9620.605135,0.12906099999963772
c,Car,reaction,9700000000,9700.0,9700000000,0,20.153856999999334,9720.153857,9720.625176,0.4713190000002214
c,Car,reaction,9800000000,9800.0,9800000000,0,20.285690999999133,9820.285691,9820.570899,0.2852080000011483
c,Car,reaction,9900000000,9900.0,9900000000,0,20.218582999999853,9920.218583,9920.372096,0.15351299999929324
c,Car,reaction,10000000000,10000.0,10000000000,0,20.76898599999913,10020.768986,10021.095764,0.3267780000005587
c,Car,reaction,10100000000,10100.0,10100000000,0,20.300773999999365,10120.300774,10120.595967,0.29519299999992654
c,Car,reaction,10200000000,10200.0,10200000000,0,20.417390000000523,10220.41739,10220.781681,0.36429099999986647
c,Car,reaction,10300000000,10300.0,10300000000,0,20.351925000000847,10320.351925,10320.691297,0.33937199999854784
c,Car,reaction,10400000000,10400.0,10400000000,0,20.582045999999536,10420.582046,10420.88991,0.3078640000003361
c,Car,reaction,10500000000,10500.0,10500000000,0,20.25806299999931,10520.258063,10520.597876,0.33981300000050396
c,Car,reaction,10600000000,10600.0,10600000000,0,20.592771999999968,10620.592772,10620.899318,0.30654599999979837
c,Car,reaction,10700000000,10700.0,10700000000,0,20.264525000000503,10720.264525,10720.560641,0.29611599999952887
c,Car,reaction,10800000000,10800.0,10800000000,0,20.290220999999292,10820.290221,10820.578988,0.2887670000000071
c,Car,reaction,10900000000,10900.0,10900000000,0,20.28559200000018,10920.285592,10920.710909,0.42531699999926786
c,Car,reaction,11000000000,11000.0,11000000000,0,20.365406999999323,11020.365407,11020.662186,0.2967790000002424
c,Car,reaction,11100000000,11100.0,11100000000,0,20.55692900000031,11120.556929,11120.871777,0.3148479999999836
c,Car,reaction,11200000000,11200.0,11200000000,0,20.257204999999885,11220.257205,11220.564885,0.30767999999989115
c,Car,reaction,11300000000,11300.0,11300000000,0,20.26056400000016,11320.260564,11320.540704,0.28013999999893713
c,Car,reaction,11400000000,11400.0,11400000000,0,20.28338000000076,11420.28338,11420.565482,0.28210199999921315
c,Car,reaction,11500000000,11500.0,11500000000,0,20.594398999999612,11520.594399,11520.884085,0.2896860000000743
llm,AgenticCoach,llm_inference,7000000000,7000.0,7000000000,0,124.6506419999996,7124.650642,11617.277345,4492.626703000001
planner,ActionPlanner,monitoring_tardy,11000000000,11000.0,11000000000,1,617.7763269999996,11617.776327,11617.857741,0.08141400000022259
c,Car,reaction,11600000000,11600.0,11600000000,0,20.28563199999917,11620.285632,11620.579361,0.2937290000008943
