event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,displacement_present,velocity_present,steer_present,head_present,eye_present,environment_states_present,distance_to_target_m,velocity_kmh,steering,head_history_json,eye_history_json,environment_json,control,instruction,inference_ms,control_present,instruction_present
llm_inference,7000000000,7000.0,7299.630883,7000000000,0,299.6308829999998,0,0,0,1,1,0,0.0,0.0,,"[""CENTER""]","[""CENTER""]","{""road_phase"": """", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": """", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",ACTUATE,Stop before the sign.,275.1244530081749,1,1
llm_inference,7400000000,7400.0,7752.52659,7400000000,0,352.5265900000004,0,0,0,0,0,1,0.0,0.0,,"[""CENTER""]","[""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,273.4301947057247,1,1
llm_inference,7800000000,7800.0,8065.830291,7800000000,0,265.8302910000002,0,0,0,0,1,0,0.0,0.0,,"[""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": """", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": """", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,242.5814038142562,1,1
llm_inference,8200000000,8200.0,8476.510997,8200000000,0,276.5109969999994,0,0,0,1,0,1,0.0,0.0,,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",ACTUATE,Stop before the stop sign.,253.15532786771655,1,1
llm_inference,8600000000,8600.0,8859.633598,8600000000,0,259.63359800000035,0,0,0,0,0,1,0.0,0.0,,"[""CENTER""]","[""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,236.46727111190557,1,1
llm_inference,9000000000,9000.0,9285.8621,9000000000,0,285.8621000000003,0,0,0,0,1,1,0.0,0.0,,"[""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",ACTUATE,Stop before the stop sign.,262.7590550109744,1,1
llm_inference,9400000000,9400.0,9718.256251,9400000000,0,318.2562510000007,0,0,0,0,1,1,0.0,0.0,,"[""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",ACTUATE,Stop before the stop sign.,249.01317479088902,1,1
llm_inference,9800000000,9800.0,10089.806566,9800000000,0,289.8065659999993,1,0,1,0,0,0,3742.0967118443386,0.0,1,"[""CENTER""]","[""CENTER""]","{""road_phase"": """", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": """", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,266.3892051205039,1,1
llm_inference,10200000000,10200.0,10470.537996,10200000000,0,270.5379959999991,1,0,0,1,0,0,3704.9075506318823,0.0,,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER""]","{""road_phase"": """", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": """", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",WARNING,Increase speed.,246.6626879759133,1,1
llm_inference,10600000000,10600.0,10881.578032,10600000000,0,281.57803199999944,1,1,0,1,0,0,3667.718389419426,77.47148713838072,,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER""]","{""road_phase"": """", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": """", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",WARNING,Increase speed.,256.4780190587044,1,1
