logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,distance_from_start_m,velocity_kmh,road_phase,environment_distance,front_car_present,right_car_present,right_car_position,cross_left_car_present,cross_right_car_present,other_car_present,environment_states_json
7000000000,7000.0,7032.207268,7000000000,0,32.21006200000011,0,0.0,90.98208,HIGHWAY,4000.0,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7100000000,7100.0,7131.817387,7100000000,0,31.822135999999773,0,6.8730086874304845,91.9542856177152,HIGHWAY,3993.1269913125693,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7200000000,7200.0,7232.00245,7200000000,0,32.00719899999967,0,16.17375221280049,92.91661058196718,HIGHWAY,3983.8262477871995,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7300000000,7300.0,7330.754901,7300000000,0,30.75853300000017,0,25.471030651138932,93.86905188629824,HIGHWAY,3974.528969348861,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7400000000,7400.0,7433.696234,7400000000,0,33.70489499999985,0,34.76832088108862,94.8116097250742,HIGHWAY,3965.2316791189114,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7500000000,7500.0,7530.329939,7500000000,0,30.332454000000325,0,44.06561118403709,95.744287428482,HIGHWAY,3955.934388815963,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7600000000,7600.0,7629.774391,7600000000,0,29.77886099999978,0,53.36290148715097,96.66709139652711,HIGHWAY,3946.637098512849,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7700000000,7700.0,7731.140074,7700000000,0,31.14398600000004,0,62.660191790265074,97.58003103213464,HIGHWAY,3937.339808209735,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7800000000,7800.0,7832.276674,7800000000,0,32.27918800000043,0,71.95748209337918,98.48311867345507,HIGHWAY,3928.042517906621,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7900000000,7900.0,7931.512715,7900000000,0,31.525845999999547,0,81.25477239649328,99.37636952547453,HIGHWAY,3918.745227603507,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8000000000,8000.0,8031.584354,8000000000,0,31.587706999999682,0,90.55206269960738,100.25980159102654,HIGHWAY,3909.447937300393,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8100000000,8100.0,8135.623613,8100000000,0,35.62836299999981,0,99.84935300272149,101.13343560130032,HIGHWAY,3900.1506469972787,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8200000000,8200.0,8232.289167,8200000000,0,32.29196000000047,0,109.1466433058356,101.99729494593795,HIGHWAY,3890.853356694164,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8300000000,8300.0,8329.560675,8300000000,0,29.56654200000048,0,118.44393360894969,102.8514056028108,HIGHWAY,3881.55606639105,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8400000000,8400.0,8431.578409,8400000000,0,31.589303999999174,0,127.74122391206379,103.69579606756226,HIGHWAY,3872.258776087936,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8500000000,8500.0,8530.796571,8500000000,0,30.801320000000487,0,137.03851421517788,104.53049728300195,HIGHWAY,3862.961485784822,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8600000000,8600.0,8632.393014,8600000000,0,32.395807999999306,0,146.335804518292,105.35554256843353,HIGHWAY,3853.664195481708,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8700000000,8700.0,8730.590077,8700000000,0,30.594547000000603,0,155.6330948214061,106.17096754899525,HIGHWAY,3844.3669051785937,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8800000000,8800.0,8831.979506,8800000000,0,31.984255999999732,0,164.9303851245202,106.97681008509026,HIGHWAY,3835.0696148754796,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8900000000,8900.0,8929.640178,8900000000,0,29.642691999999442,0,174.22767542763432,107.77311020198019,HIGHWAY,3825.7723245723655,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9000000000,9000.0,9029.586659,9000000000,0,29.591687000000093,0,183.52496573074842,108.55991001961306,HIGHWAY,3816.4750342692514,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9100000000,9100.0,9129.696571,9100000000,0,29.70020300000033,0,192.82225603386252,109.3372536827538,HIGHWAY,3807.1777439661373,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9200000000,9200.0,9230.792382,9200000000,0,30.79601399999956,0,202.1195463369766,110.10518729148231,HIGHWAY,3797.880453663023,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9300000000,9300.0,9329.746539,9300000000,0,29.750170999999682,0,211.4168366400907,110.86375883212162,HIGHWAY,3788.583163359909,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9400000000,9400.0,9429.665363,9400000000,0,29.668714999999793,0,220.71412694320483,111.6130181086557,HIGHWAY,3779.285873056795,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9500000000,9500.0,9529.97307,9500000000,0,29.9755839999998,0,230.01141724631893,112.35301667469331,HIGHWAY,3769.988582753681,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9600000000,9600.0,9630.537239,9600000000,0,30.543385000000853,0,239.30870754943302,113.08380776603197,HIGHWAY,3760.691292450567,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9700000000,9700.0,9729.035463,9700000000,0,29.03769800000009,0,248.60599785254715,113.80544623387281,HIGHWAY,3751.3940021474527,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9800000000,9800.0,9829.848831,9800000000,0,29.8572120000008,0,257.90328815566124,114.51798847873442,HIGHWAY,3742.0967118443386,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
