event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,head_present,eye_present,head,eye
output_tick,7000000000,7000.0,7010.126936,7000000000,0,10.145343000000139,0,1,1,1,1
output_tick,7100000000,7100.0,7109.118108,7100000000,0,9.132755999999972,0,1,1,1,1
output_tick,7200000000,7200.0,7209.477654,7200000000,0,9.489134999999806,0,1,1,1,1
output_tick,7300000000,7300.0,7309.722237,7300000000,0,9.730755999999928,0,1,1,1,1
sensor_arrival,7400000000,7400.0,7469.809826,7400000000,0,69.81588199999987,0,1,1,1,0
output_tick,7400000000,7400.0,7470.195655,7400000000,0,70.19898900000044,0,1,1,1,0
output_tick,7500000000,7500.0,7505.523087,7500000000,0,5.535143000000062,0,1,1,1,0
output_tick,7600000000,7600.0,7608.853969,7600000000,0,8.866025000000263,0,1,1,1,0
output_tick,7700000000,7700.0,7705.03334,7700000000,0,5.068709999999555,0,1,1,1,0
output_tick,7800000000,7800.0,7809.870446,7800000000,0,9.9316859999999,0,1,1,1,0
sensor_arrival,7900000000,7900.0,7959.490228,7900000000,0,59.497338999999556,0,1,1,1,0
output_tick,7900000000,7900.0,7959.672929,7900000000,0,59.67548499999975,0,1,1,1,0
output_tick,8000000000,8000.0,8005.566482,8000000000,0,5.57855600000039,0,1,1,1,0
output_tick,8100000000,8100.0,8105.626179,8100000000,0,5.640863999999965,0,1,1,1,0
output_tick,8200000000,8200.0,8205.84443,8200000000,0,5.855799999999363,0,1,1,1,0
output_tick,8300000000,8300.0,8305.075747,8300000000,0,5.088062000000718,0,1,1,1,0
sensor_arrival,8400000000,8400.0,8457.978566,8400000000,0,57.984824999999546,0,1,1,1,1
output_tick,8400000000,8400.0,8458.250618,8400000000,0,58.25326599999971,0,1,1,1,1
output_tick,8500000000,8500.0,8509.262835,8500000000,0,9.271779999999126,0,1,1,1,1
output_tick,8600000000,8600.0,8605.139154,8600000000,0,5.150171999999657,0,1,1,1,1
output_tick,8700000000,8700.0,8705.391774,8700000000,0,5.40229299999919,0,1,1,1,1
output_tick,8800000000,8800.0,8804.617962,8800000000,0,4.627646999999342,0,1,1,1,1
sensor_arrival,8900000000,8900.0,8953.790009,8900000000,0,53.79658299999937,0,1,1,1,1
output_tick,8900000000,8900.0,8954.071709,8900000000,0,54.07441300000028,0,1,1,1,1
output_tick,9000000000,9000.0,9005.379626,9000000000,0,5.390699999999924,0,1,1,1,1
output_tick,9100000000,9100.0,9105.764745,9100000000,0,5.776300999999876,0,1,1,1,1
output_tick,9200000000,9200.0,9205.692869,9200000000,0,5.704443000000538,0,1,1,1,1
