event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,steer_in_present,accel_in_present,brake_in_present,actuate_in_present,steer_in,accel_in,brake_in,actuate_in,car_velocity,car_steer
reaction,7000000000,7000.0,7010.974142,1781999082768566222,0,1,1,1,0,1,0.796078431372549,0.01568627450980392,,90.53845591695502,1
reaction,7100000000,7100.0,7110.907267,1781999082868566222,0,1,1,1,0,1,0.7686274509803922,0.027450980392156862,,90.98069981777203,1
reaction,7200000000,7200.0,7210.680387,1781999082968566222,0,1,1,1,0,1,0.7647058823529411,0.0196078431372549,,91.43986748469499,1
reaction,7300000000,7300.0,7310.693928,1781999083068566222,0,1,1,1,0,1,0.7764705882352941,0.0196078431372549,,91.91499017084189,1
reaction,7400000000,7400.0,7410.85012,1781999083168566222,0,1,1,1,0,1,0.7725490196078432,0.0196078431372549,,92.37838587906323,1
reaction,7500000000,7500.0,7510.82777,1781999083268566222,0,1,1,1,0,1,0.7372549019607844,0.0196078431372549,,92.77584955739223,1
reaction,7600000000,7600.0,7610.770598,1781999083368566222,0,1,1,1,0,1,0.7372549019607844,0.0196078431372549,,93.16922478663932,1
reaction,7700000000,7700.0,7710.889935,1781999083468566222,0,1,1,1,0,1,0.7411764705882353,0.01568627450980392,,93.57938173679652,1
reaction,7800000000,7800.0,7810.74383,1781999083568566222,0,1,1,1,0,1,0.7372549019607844,0.0196078431372549,,93.96443794242442,1
reaction,7900000000,7900.0,7910.850286,1781999083668566222,0,1,1,1,0,1,0.7411764705882353,0.01568627450980392,,94.36632760644316,1
reaction,8000000000,8000.0,8010.835173,1781999083768566222,0,1,1,1,0,1,0.7450980392156863,0.01568627450980392,,94.77075783825154,1
reaction,8100000000,8100.0,8110.889179,1781999083868566222,0,1,1,1,0,1,0.7490196078431373,0.0196078431372549,,95.16358400887489,1
reaction,8200000000,8200.0,8210.820793,1781999083968566222,0,1,1,1,0,1,0.7490196078431373,0.01568627450980392,,95.56638276099163,1
reaction,8300000000,8300.0,8310.824817,1781999084068566222,0,1,1,1,0,1,0.7529411764705882,0.0196078431372549,,95.9575766661143,1
