logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,distance_from_start_m,velocity_kmh,road_phase,environment_distance,front_car_present,right_car_present,right_car_position,cross_left_car_present,cross_right_car_present,other_car_present,environment_states_json
7000000000,7000.0,7003.115778,1781999082768566222,0,0.0,90.53845591695502,HIGHWAY,4000.0,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7100000000,7100.0,7100.458778,1781999082868566222,0,6.873008687430487,90.98069981777203,HIGHWAY,3993.1269913125693,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7200000000,7200.0,7200.533778,1781999082968566222,0,16.173752212800494,91.43986748469499,HIGHWAY,3983.8262477871995,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7300000000,7300.0,7300.692778,1781999083068566222,0,25.47103065113894,91.91499017084189,HIGHWAY,3974.528969348861,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7400000000,7400.0,7400.355778,1781999083168566222,0,34.76832088108863,92.37838587906323,HIGHWAY,3965.2316791189114,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7500000000,7500.0,7500.430778,1781999083268566222,0,44.065611184037095,92.77584955739223,HIGHWAY,3955.934388815963,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7600000000,7600.0,7600.600778,1781999083368566222,0,53.362901487150985,93.16922478663932,HIGHWAY,3946.637098512849,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7700000000,7700.0,7700.815778,1781999083468566222,0,62.66019179026509,93.57938173679652,HIGHWAY,3937.339808209735,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7800000000,7800.0,7800.306778,1781999083568566222,0,71.95748209337918,93.96443794242442,HIGHWAY,3928.042517906621,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
7900000000,7900.0,7901.316778,1781999083668566222,0,81.2547723964933,94.36632760644316,HIGHWAY,3918.745227603507,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8000000000,8000.0,8011.644778,1781999083768566222,0,90.55206269960739,94.77075783825154,HIGHWAY,3909.447937300393,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8100000000,8100.0,8100.454778,1781999083868566222,0,99.8493530027215,95.16358400887489,HIGHWAY,3900.1506469972783,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8200000000,8200.0,8200.336778,1781999083968566222,0,109.1466433058356,95.56638276099163,HIGHWAY,3890.853356694164,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8300000000,8300.0,8301.239778,1781999084068566222,0,118.44393360894969,95.9575766661143,HIGHWAY,3881.55606639105,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8400000000,8400.0,8400.625778,1781999084168566222,0,127.74122391206379,96.35194492944109,HIGHWAY,3872.258776087936,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8500000000,8500.0,8500.575778,1781999084268566222,0,137.03851421517788,96.74888071619671,HIGHWAY,3862.961485784822,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8600000000,8600.0,8600.616778,1781999084368566222,0,146.335804518292,97.16885900707851,HIGHWAY,3853.664195481708,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8700000000,8700.0,8700.728778,1781999084468566222,0,155.6330948214061,97.66798005101293,HIGHWAY,3844.3669051785937,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8800000000,8800.0,8800.508778,1781999084568566222,0,164.9303851245202,98.2697256026135,HIGHWAY,3835.0696148754796,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
8900000000,8900.0,8900.396778,1781999084668566222,0,174.22767542763432,98.86492089628253,HIGHWAY,3825.7723245723655,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9000000000,9000.0,9000.795778,1781999084768566222,0,183.52496573074842,99.4535976558507,HIGHWAY,3816.4750342692514,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9100000000,9100.0,9100.779778,1781999084868566222,0,192.82225603386252,100.02167090708984,HIGHWAY,3807.1777439661373,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9200000000,9200.0,9200.699778,1781999084968566222,0,202.1195463369766,100.59756644070146,HIGHWAY,3797.880453663023,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9300000000,9300.0,9300.435778,1781999085068566222,0,211.4168366400907,101.15292567599063,HIGHWAY,3788.583163359909,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9400000000,9400.0,9400.548778,1781999085168566222,0,220.71412694320483,101.70153540037688,HIGHWAY,3779.285873056795,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9500000000,9500.0,9500.567778,1781999085268566222,0,230.01141724631893,102.22213159693445,HIGHWAY,3769.988582753681,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9600000000,9600.0,9605.878778,1781999085368566222,0,239.30870754943302,102.72236458224859,HIGHWAY,3760.691292450567,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9700000000,9700.0,9700.506778,1781999085468566222,0,248.60599785254715,103.20278436510684,HIGHWAY,3751.3940021474527,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9800000000,9800.0,9800.505778,1781999085568566222,0,257.90328815566124,103.68461956531725,HIGHWAY,3742.0967118443386,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
9900000000,9900.0,9902.898778,1781999085668566222,0,267.20057845877534,104.16091667476691,HIGHWAY,3732.7994215412245,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
10000000000,10000.0,10001.267778,1781999085768566222,0,276.49786876188944,104.63892008373067,HIGHWAY,3723.5021312381105,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
10100000000,10100.0,10100.343778,1781999085868566222,0,285.79515906500353,105.11860246371383,HIGHWAY,3714.2048409349964,0,0,NONE,0,0,0,"[""HIGHWAY"", 0, 0, ""NONE"", 0, 0]"
