event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,steer_present,accelerator_present,brake_present,steer,accelerator,brake
sensor_arrival,143901828,143.901828,144.580043,1781999075912468050,0,0,1,0,1,0.5882352941176471,0.0
sensor_arrival,151733393,151.733393,152.359645,1781999075920299615,0,0,1,0,1,0.592156862745098,0.0
sensor_arrival,159634716,159.634716,160.0466,1781999075928200938,0,0,1,0,1,0.596078431372549,0.0
sensor_arrival,167701870,167.70187,168.164254,1781999075936268092,0,0,1,0,1,0.6,0.0
sensor_arrival,175722563,175.722563,176.370093,1781999075944288785,0,0,1,0,1,0.6039215686274509,0.0
sensor_arrival,183673348,183.673348,184.17575,1781999075952239570,0,0,1,0,1,0.6078431372549019,0.0
sensor_arrival,191686374,191.686374,192.257608,1781999075960252596,0,0,1,0,1,0.611764705882353,0.0
sensor_arrival,191908482,191.908482,192.94649,1781999075960474704,0,0,0,1,1,0.611764705882353,0.01568627450980392
sensor_arrival,199809231,199.809231,200.506631,1781999075968375453,0,0,1,0,1,0.615686274509804,0.01568627450980392
sensor_arrival,200147820,200.14782,201.329789,1781999075968714042,0,0,0,1,1,0.615686274509804,0.0196078431372549
sensor_arrival,207641018,207.641018,208.189345,1781999075976207240,0,0,1,0,1,0.6196078431372549,0.0196078431372549
sensor_arrival,207852349,207.852349,208.844172,1781999075976418571,0,0,0,1,1,0.6196078431372549,0.01568627450980392
sensor_arrival,215638562,215.638562,216.680847,1781999075984204784,0,0,1,0,1,0.6235294117647059,0.01568627450980392
sensor_arrival,215863134,215.863134,217.366007,1781999075984429356,0,0,0,1,1,0.6235294117647059,0.0196078431372549
sensor_arrival,223694328,223.694328,224.155916,1781999075992260550,0,0,1,0,1,0.6313725490196078,0.0196078431372549
sensor_arrival,231719168,231.719168,232.315755,1781999076000285390,0,0,1,0,1,0.6352941176470588,0.0196078431372549
sensor_arrival,231840334,231.840334,233.036562,1781999076000406556,0,0,0,1,1,0.6352941176470588,0.01568627450980392
sensor_arrival,239663380,239.66338,240.091597,1781999076008229602,0,0,1,0,1,0.6392156862745098,0.01568627450980392
sensor_arrival,247666313,247.666313,248.286602,1781999076016232535,0,0,0,1,1,0.6392156862745098,0.0196078431372549
sensor_arrival,279761729,279.761729,280.362704,1781999076048327951,0,0,0,1,1,0.6392156862745098,0.01568627450980392
sensor_arrival,287753200,287.7532,288.298342,1781999076056319422,0,0,0,1,1,0.6392156862745098,0.0196078431372549
sensor_arrival,319740488,319.740488,320.438313,1781999076088306710,0,0,1,0,1,0.6352941176470588,0.0196078431372549
sensor_arrival,320052095,320.052095,321.275934,1781999076088618317,0,0,0,1,1,0.6352941176470588,0.01568627450980392
sensor_arrival,327834623,327.834623,328.359321,1781999076096400845,0,0,1,0,1,0.6235294117647059,0.01568627450980392
sensor_arrival,335703021,335.703021,336.422828,1781999076104269243,0,0,1,0,1,0.6196078431372549,0.01568627450980392
sensor_arrival,336032925,336.032925,337.15069,1781999076104599147,0,0,0,1,1,0.6196078431372549,0.0196078431372549
sensor_arrival,343685973,343.685973,344.227504,1781999076112252195,0,0,1,0,1,0.6078431372549019,0.0196078431372549
