federate,reactor,reaction,logical_time_ns,logical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,start_physical_time_ms,stop_physical_time_ms,execution_time_ms
c,Car,reaction,7000000000,7000.0,7000000000,0,20.673501000000215,0,7020.673501,7021.118562,0.44506099999944126
c,Car,reaction,7100000000,7100.0,7100000000,0,20.618813000000046,0,7120.618813,7121.133486,0.5146729999996751
c,Car,reaction,7200000000,7200.0,7200000000,0,20.535485000000335,0,7220.535485,7220.927236,0.391751000000113
c,Car,reaction,7300000000,7300.0,7300000000,0,20.565176000000065,0,7320.565176,7320.987755,0.42257900000004156
c,Car,reaction,7400000000,7400.0,7400000000,0,20.54287199999999,0,7420.542872,7420.933902,0.3910299999997733
c,Car,reaction,7500000000,7500.0,7500000000,0,20.67698399999972,0,7520.676984,7521.052129,0.37514499999997497
c,Car,reaction,7600000000,7600.0,7600000000,0,20.32204499999989,0,7620.322045,7620.707009,0.3849639999998544
c,Car,reaction,7700000000,7700.0,7700000000,0,20.400260999999773,0,7720.400261,7720.790979,0.390718000000561
c,Car,reaction,7800000000,7800.0,7800000000,0,20.68796300000031,0,7820.687963,7821.455383,0.7674200000001292
c,Car,reaction,7900000000,7900.0,7900000000,0,20.625420999999733,0,7920.625421,7921.00587,0.3804490000002261
c,Car,reaction,8000000000,8000.0,8000000000,0,20.323537000000215,0,8020.323537,8020.602478,0.2789409999995769
c,Car,reaction,8100000000,8100.0,8100000000,0,20.709767999999713,0,8120.709768,8121.137218,0.42745000000013533
c,Car,reaction,8200000000,8200.0,8200000000,0,20.167724000000817,0,8220.167724,8220.488523,0.3207989999991696
c,Car,reaction,8300000000,8300.0,8300000000,0,20.618830999999773,0,8320.618831,8321.030162,0.4113309999993362
c,Car,reaction,8400000000,8400.0,8400000000,0,20.57517100000041,0,8420.575171,8421.020971,0.44579999999950815
c,Car,reaction,8500000000,8500.0,8500000000,0,20.33349199999975,0,8520.333492,8520.620204,0.28671200000098906
c,Car,reaction,8600000000,8600.0,8600000000,0,20.64274099999966,0,8620.642741,8620.743965,0.10122400000000198
c,Car,reaction,8700000000,8700.0,8700000000,0,20.301382999999987,0,8720.301383,8720.718856,0.4174729999995179
c,Car,reaction,8800000000,8800.0,8800000000,0,20.59217600000011,0,8820.592176,8821.000308,0.408132000000478
c,Car,reaction,8900000000,8900.0,8900000000,0,20.710003000000142,0,8920.710003,8921.089778,0.37977499999942665
c,Car,reaction,9000000000,9000.0,9000000000,0,20.80493700000079,0,9020.804937,9021.130218,0.3252809999994497
