event,logical_time_ns,logical_time_ms,physical_time_ms,tag_time_ns,microstep,lag_ms,tardy_invocation_count,displacement_present,velocity_present,steer_present,head_present,eye_present,environment_states_present,distance_to_target_m,velocity_kmh,steering,head_history_json,eye_history_json,environment_json,control,instruction,inference_ms,control_present,instruction_present
llm_inference,7000000000,7000.0,7307.709135,7000000000,0,307.70913500000006,0,1,1,1,1,1,1,4000.0,90.98208,1,"[""CENTER""]","[""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,273.2202052138746,1,1
llm_inference,7400000000,7400.0,7738.159662,7400000000,0,338.159662,0,1,1,1,1,1,1,3965.3246520219222,94.8116097250742,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""LEFT""]","[""CENTER"", ""CENTER"", ""CENTER"", ""LEFT""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,235.49353377893567,1,1
llm_inference,7800000000,7800.0,8068.272701,7800000000,0,268.27270099999987,0,1,1,1,1,1,1,3928.135490809652,98.48311867345507,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",WARNING,Reduce speed.,233.9183702133596,1,1
llm_inference,8200000000,8200.0,8484.276027,8200000000,0,284.2760269999999,0,1,1,1,1,1,1,3890.9463295971955,101.99729494593795,1,"[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","[""LEFT"", ""LEFT"", ""LEFT"", ""LEFT""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",WARNING,Reduce speed.,252.01901327818632,1,1
llm_inference,8600000000,8600.0,8872.119439,8600000000,0,272.11943900000006,0,1,1,1,1,1,1,3853.757168384739,105.35554256843353,1,"[""LEFT"", ""CENTER"", ""CENTER"", ""CENTER""]","[""LEFT"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",WARNING,Reduce speed.,240.12622004374862,1,1
llm_inference,9000000000,9000.0,9257.030002,9000000000,0,257.0300019999995,0,1,1,1,1,1,1,3816.5680071722827,108.55991001961306,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,225.0016857869923,1,1
llm_inference,9400000000,9400.0,9731.18927,9400000000,0,331.18927000000076,0,1,1,1,1,1,1,3779.3788459598263,108.75064111006883,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",WARNING,Reduce speed.,230.83719238638878,1,1
llm_inference,9800000000,9800.0,10073.397559,9800000000,0,273.3975589999991,0,1,1,1,1,1,1,3742.18968474737,106.13829204423133,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,241.08580593019724,1,1
llm_inference,10200000000,10200.0,10462.020955,10200000000,0,262.02095499999996,0,1,1,1,1,1,1,3705.0005235349136,103.64739213643875,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,230.39302369579673,1,1
llm_inference,10600000000,10600.0,10855.679122,10600000000,0,255.67912199999955,0,1,1,1,1,1,1,3667.811362322457,101.26961597076173,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",WARNING,Reduce speed.,223.8563527353108,1,1
llm_inference,11000000000,11000.0,11273.432495,11000000000,0,273.4324949999991,0,1,1,1,1,1,1,3630.622201110001,98.99738306471862,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",WARNING,Reduce speed.,240.74143962934613,1,1
llm_inference,11400000000,11400.0,11746.712411,11400000000,0,346.71241100000043,0,1,1,1,1,1,1,3593.4330398975476,96.82377628953397,1,"[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","[""CENTER"", ""CENTER"", ""CENTER"", ""CENTER""]","{""road_phase"": ""HIGHWAY"", ""front_car_present"": 0, ""right_car_present"": 0, ""right_car_position"": ""NONE"", ""cross_left_car_present"": 0, ""cross_right_car_present"": 0}",NONE,,242.21893399953842,1,1
